Educacao
"Buscar recursos para viabilizar a estruturação de um centro de estudo e pesquisa no município, com biblioteca digital e internet de qualidade;"
"Realizar cursos de formação continuada para os professores, buscando parcerias com instituições de ensino da região;"
"Realizar cursos de pós graduação em Educação, semi-presencial,  buscando parcerias com institutos renomados de ensino através de orientações  do Mec-Ministério da Educação e Cultura."
Modernizar/dinamizar o fornecimento de internet para as escolas da sede e zona rural;
Criar condições para obter uma nota média no IDEB entre as escolas públicas municipais igual ou superior as médias projetadas para anos iniciais e anos finais do Ensino Fundamental;
"Garantia de transporte escolar digno e eficiente para alunos em toda a rede municipal de ensino, priorizando o transporte para os deficientes;"
"Fortalecer e aumentar a Educação em tempo integral, ampliando o número de escolas com este fim e consequentemente a quantidade de alunos,"
"Diminuir  o  déficit  de  vagas  nas  creches,  garantindo  a  população  seu direito  a educação infantil;"
Ampliar o número de vagas para educação infantil;
"Potencializar as práticas educacionais através de metodologias que garantam evolução sustentável dos indicadores de desenvolvimento da educação básica (IDEB), buscando atingir as metas definidas pelo MEC e as do plano de metas de educação do município;"
"Implantação  da  Fórum  de  Educação  que  tem  por  objetivo  organizar  e  integrar  os processos educacionais em Simões; lançando e analisando propostas, planejando, junto aos líderes escolares, projetos e planos de ação para o desenvolvimento educacional;"
"Promoção  de  melhoria  na  estrutura  física  e  nos  equipamentos  das  escolas  e  creches investindo em reforma, manutenção e revitalização;"
"Garantir a inclusão das crianças com deficiência e necessidades especiais, assegurando acessibilidade,  equipamentos  e  formação  para  os  profissionais  da  rede  municipal  de ensino para este fim;"
Ampliar  o  atendimento  da  Educação  Especial  com  propostas  de  políticas  públicas inclusivas.
Desenvolver um programa de Assistência Psicopedagógica nas escolas municipais;
Criar programa de “Reforço Escolar” com objetivo de aprimoramento do aprendizado e erradicação ao analfabetismo;
Manter a oferta da Educação Infantil e do Ensino fundamental de 1°
ao 9° anos;
Manter a oferta do EJA;
Garantir a Educação Inclusiva para todos que necessitam;
Promover a valorização dos profissionais da Educação;
"Valorizar  a  qualidade  do  ensino-aprendizagem,  melhorando consequentemente os índices internos e externos;"
Implantar o Ensino Integral;
"Promover  Formação  continuada  para  todos  os  profissionais  da Educação  (Diretores,  Coordenadores,  Professores,  Monitores, Auxiliares de Sala, Cuidadores de Alunos Atípicos, Zeladores, Vigias, motoristas e Manipuladores de Alimentos);"
"Oferecer  apoio,  suporte  e  coordenação  geral  aos  Diretores  e Coordenadores das escolas;"
Promover condições de trabalho a todos os profissionais da rede educacional;
Ampliar o quadro de profissionais da Educação Especial para atender a demanda existente;
Oferecer merenda de qualidade;
Utilizar as produções da agricultura familiar na merenda escolar;
Promover os Jogos Escolares;
Manter a oferta de transporte escolar apropriado;
Oferecer transporte escolar para os jovens que cursam o Ensino Superior em Paulistana;
Oferecer a Educação Infantil nas comunidades que tem o prédio público disponível e que tenha a quantidade mínima de alunos para abrir a turma;
Implantar o acompanhamento da Equipe Técnica da Secretaria de Educação às escolas;
Melhorar a estrutura física e mobiliária dos prédios escolares;
Disponibilizar  recursos  materiais  e  pedagógicos  para  o  bom funcionamento das unidades escolares;
Promover  e  apoiar  o  desenvolvimento  de  atividades  artísticos culturais nas escolas da rede;
Desenvolver ações integrando família e escola;
Desenvolver parcerias com os outros órgãos do município;
Promover o ensino da Educação Ambiental nas escolas;
Priorizar o respeito entre todos os membros do ambiente escolar para garantir um convívio harmônico nos espaços escolares da Rede.
Garantir o pagamento do 13º (de cimo terceiro) sala rio e abono fe rias na data de aniversa rio do(a) servidor(a);
Criar o Programa Alfabetiza Luzila ndia;
Continuar a climatizaça o das salas de aula do Ciclo de Alfabetizaça o;
"Ampliar e fortalecer o Centro Multiprofissional (psico logo, psicopedagogo, fonoaudio loga e assistente social);"
Ampliar e expandir o Berço da Esperança;
Expandir o Ensino Integral nas escolas da Rede Municipal;
Implantar o Projeto Olho Vivo (1º o culos para crianças do ciclo de alfabetizaça o e EJA);
Implantar o Reforço Escolar no contra turno para alunos do Ensino Fundamental I;
Atualizar o plano de cargos e sala rios do magiste rio incluindo mestrado;
"Implantar o Projeto Psicologia Presente (alunos, pais e funciona rios);"
Implantar o reforço para as Avaliaço es Externas;
"Premiar as escolas, professores e alunos destaques;"
Garantir o apoio escolar para alunos PCDs;
Ampliar as salas de Atendimento Educacional Especializado (AEE);
Inserir Projetos de Sustentabilidade e Conscie ncia Ambiental;
Ofertar Formaça o para Professores sobre as Avaliaço es Externas;
"Dar continuidade ao Calenda rio Festivo (dia das ma es, dia dos pais, dia das crianças, festivais juninos escolares, olimpí adas estudantis, binga o da EJA, turismo natalino);"
Conceder Bolsa Monitoria para alunos.
"Reformar, ampliar e equipar as escolas;"
Climatizar as escolas;
Descentralização dos recursos financeiros para as escolas;
Concurso  Público  (Psicólogo  /  Pedagogo/  Psicopedagogo/  Professor  E  Demais profissionais Da Educação) de acordo com a necessidade;
Implantar equipe de assessoria pedagógica para a formação continuada dos Profissionais de Educação;
Implantação da educ. Inclusiva e acessibilidade nas escolas;
Implantar reforço escolar como componente curricular da grade;
"Ofertar um transporte escolar de qualidade, priorizando a segurança e o conforto do aluno;"
"Implantar  equipes  de  coordenação  pedagógica  por  área,  para  dá  suporte  nas escolas;"
"Melhoria  do  cardápio  da  merenda  escolar  com  inclusão  de  alimentos  regionais  e priorização de alimentos saudáveis, avaliação nutricional frequente para monitorar o estado nutricional dos alunos;"
"Revogar  o  Plano  de  Cargos  e  Salários  Lei  757/  2022,  visando  a  valorização  dos Profissionais da Educação, retomando direitos que foram retirados, através de uma nova Lei;"
Valorizar o profissional da Educação por meio de premiação vinculada aos índices do IDEB;
"Formação  continuada  para  os  professores  de  Língua  Portuguesa  e  matemática, como  matéria de apoio pedagógico.  Visando  a  melhoria do ensino e  elevação  do IDEB;"
Reformar  a  grade  curricular  implantando  obrigatoriamente  o  uso  de  4  línguas. (L. Portuguesa / Espanhol / Libras / Inglês);
Fornecer EPIs aos auxiliares de serviços gerais;
Uniformizar o sistema de ensino;
Disponibilizar  uma  equipe  multifuncional  para  as  escolas  (Psicólogo  / Psicopedagogo / Fonoaudiólogo);
Investir em tecnologias da informação voltada para Educação;
Disponibilizar  profissionais  para  atendimento  individual  aos  alunos  com necessidades especiais;
Revitalizar e  implantar  bibliotecas  nas  escolas;  assim  como  projetos e  programas para biblioteca virtual e interativa e laboratório de informática;
Disponibilizar profissionais com formação na área para Educação Infantil;
Priorizar a Educação Ambiental dentro do currículo escolar desde a Educação Infantil aos anos finais do Ensino Fundamental;
Melhorar o programa de Jovens e Adultos (EJA);
"Implantar  o  curso  jovens  empreendedores  primeiros  passos  em  parceria  com  o SEBRAE,  visando  que  a  criança  de  maneira  lúdica  desenvolva  habilidades  e comportamentos empreendedores;"
"Criar  a  SEMANA  DA  JUVENTUDE  para  apoiar  iniciativas  nas  linguagens,  teatral, musical, literária, coreográfica, plástica e das culturas populares e contemporânea;"
Construir uma creche no Bairro Santa Clara;
Construção de um Colégio para o Povoado Tabuleiro Grande;
Ensino Fundamental maior para os Povoados que possuem acima de 50 alunos.
