Proposta,Eixo
Parcerias  com  universidades  e  centros  de  pesquisa  para  aprimorar  o  atendimento médico.,Saúde
Promover cursos de aperfeiçoamento para os profissionais na área da saúde;,Saúde
Melhorar o Prontuário Eletrônico do Cidadão – PEC;,Saúde
Promover atendimento médico 24 horas incluindo aos sábados e domingos;,Saúde
"Viabilizar  equipes  multiprofissionais  semanalmente  nas  localidades  –  Aliança  do Gurguéia, Agrovila, Estreito, Olho d ́agua do mato, Lagoa Cercada, Solta;",Saúde
Ampliar atendimentos odontológicos na sede e zonas rurais do Município;,Saúde
Aquisição de ambulância para as localidade Lagoa Cercada e Aliança do Gurguéia;,Saúde
Revitalizar as atividades voltadas para os Idosos com hidroginástica e atividades físicas com orientação terapêuticas na Sede e Zona Rural;,Saúde
Viabilizar  aquisição  de  uma  máquina  de  Raio-X  para  o  UBS  –    (Unidade  básica  de Saúde); 4,Saúde
Aquisição de casa de apoio e equipe de acompanhamento em tratamento de Saúde em Teresina – PI;,Saúde
Viabilizar farmacêutico(a) para a Farmácia Básica;,Saúde
Implantar Saúde Digital;,Saúde
Promover assistência eletiva nas especialidades em saúde,Saúde
Fornecer os principais medicamentos de urgência através da Farmácia Básica na Sede e Localidades Rurais;,Saúde
Aquisição veículos para atender as demandas da secretaria de saúde;,Saúde
Viabilizar a aquisição de motocicletas para os agentes de zoonose;,Saúde
Promover  Ações  envolvendo  toda  comunidade  objetivando  o  combate  a  gravidez precoce e o uso de álcool por adolescentes;,Saúde
Celebrar convênio com Estado/ União   para   implantação da rede de esgoto com estação de coleta e tratamento nas principais vias da cidade;,Saúde
Viabilizar a construção de sumidouros e fossa séptica;,Saúde
Revitalizar  o  laboratório  de  análise  clinicas  com  contratação  de  profissionais  para  o funcionamento do mesmo;,Saúde
Viabilizar Curso de aperfeiçoamento dos conselheiros municipais de Saúde,Saúde
"Promover a contratação de Profissionais de Saúde (psicólogos, farmacêuticos, nutricionistas, técnicos em enfermagem etc);",Saúde
Promover Plano de ação de direcionamento do lixo hospitalar e resíduos sólidos.,Saúde
Reestruturar a Rede de Assistência à Saúde;,Saúde
Assegurar o equilíbrio financeiro da Fundação Municipal de Saúde;,Saúde
Ampliar o Hospital de Urgência de Teresina (HUT);,Saúde
"Aperfeiçoar a Central de Regulação de Marcação de Consultas,",Saúde
Exames e Internações;,Saúde
"Fortalecer  a  estratégia  do  Programa  Saúde  da  Família  na  prevenção, promoção e assistência à saúde;",Saúde
Ampliar as ações para redução da mortalidade materna e infantil;,Saúde
Aperfeiçoar os serviços de assistência à saúde mental;,Saúde
"Tornar Teresina cidade modelo no combate à catarata, câncer do colo do útero e câncer de mama;",Saúde
Retomar o projeto de inseminação artificial;,Saúde
Ampliar  e  descentralizar  as  ações  de  atendimento  de  crianças e adolescentes da rede municipal de ensino com dificuldades de aprendizagem;,Saúde
"Fortalecer a Central de Laudos, reorganizar o fluxo de pacientes e ampliar a oferta dos exames por imagem;",Saúde
Ampliar a oferta de serviços odontológicos básicos e especializados nas Unidades Básicas de Saúde;,Saúde
Revitalizar  e  fortalecer  as  atribuições  da  Vigilância  Sanitária  e do Centro de Zoonoses;,Saúde
Valorizar a participação do Controle Social.,Saúde
"A policlínica terá todos os exames mais complexo que existem, como exames de imagens, endoscopia e outros mais complexo;",Saúde
"Vamos fazer mais 4 unidades de pronto atendimento (UPA), na cidade, com todos os profissionais e às especialidades da medicina, Vamos Fazer duas UPA na zona rural; Nossa saúde em grande evolução.",Saúde
"Vamos ampliar o médico da família, para atender em casa quem esteja em situação vulnerável.",Saúde
Vamos treinar os agentes de saúde para fazer testes de detectar doença na residência e conversar com aquela pessoa a procurar tratamento imediato.,Saúde
Fortalecimento do programa mais médicos;,Saúde
Incluir mais médicos especialistas no atendimento;,Saúde
Buscar profissionais médicos para residir no município para que possam prestar um atendimento mais rápido;,Saúde
Ampliação do atendimento médico para outros povoados;,Saúde
"Os povoados serão amplamente beneficiados com o atendimento da equipe de saúde, visando facilitar os diagnósticos e o acompanhamento dos problemas de saúde da população;",Saúde
"Atenção especial aos munícipes com condições especiais e enfermidades que limitam a locomoção, serão atendidos em suas residências, com periodicidade e dignidade.",Saúde
"Cumprimento integral das normas e programas do SUS, em atendimento aos cidadãos que utilizam os serviços públicos de saúde do município;",Saúde
"Criar o programa SOS saúde, onde será disponibilizado um número de telefone e whatsapp com pessoas sempre de plantão para autorizar imediatamente a saída do carro para socorro;",Saúde
"Promover dias dedicados à saúde dos trabalhadores rurais, com visitas das equipes de saúde—incluindo médicos, enfermeiros, psicólogos e dentistas—às comunidades. Essas ações visam alcançar aqueles que, muitas vezes, se sentem intimidados para buscar atendimento médico, garantindo que todos tenham acesso aos cuidados necessários.",Saúde
Manter programas de qualidade no atendimento aos pacientes do Município.,Saúde
"Manter  e  melhorar/ampliar  o  fornecimento  de  consultas,  medicamentos, exames e transporte para os pacientes.",Saúde
"Manter e Ampliar ações do programa NASF, composto por psicólogos, fisioterapeutas, fonoaudiólogos, nutricionista, educador físico, dentistas, entre outros.",Saúde
Manter sistema de atendimento de médicos especialistas,Saúde
Melhorar e ampliar a frota de veículos e ambulâncias.,Saúde
"Ampliar o atendimento nas Unidades de Saúde, com horários ampliados dos profissionais da saúde, e com maiores especialidades.",Saúde
Monitorar e avaliar sistematicamente os indicadores do Sistema de Saúde.,Saúde
Ampliar os serviços e equipes da vigilância sanitária.,Saúde
"Ampliar a cobertura do Programa de Agente Comunitário de Saúde, Estratégia de Saúde da Família.",Saúde
Adquirir  unidade  móvel  adaptada  para  ampliação  do  atendimento  de  saúde na área rural.,Saúde
Ampliar os CAPS (Centro de Atenção Psicossocial de Álcool e outras Drogas) e implantar o atendimento 24 horas.,Saúde
"Construção  de  um  Centro  de  Referência  ao  Idoso  –  Oferecer  atendimento especializado, referenciado pelas unidades de saúde.",Saúde
Estruturar  e  organizar  o  funcionamento  do  CEO  (Centro  de  Especialidade Odontológica).,Saúde
"Reorganizar as Unidades Básicas de Saúde, CAPS, e NASF.",Saúde
"Construções de novas Unidades Básicas de Saúde, CAPS, e NASF.",Saúde
Construção da sede própria da Secretaria Municipal de Saúde,Saúde
"Construção de mais duas unidades de saúde, além de reformas das existentes",Saúde
Construção/ampliação  da  unidade  de  saúde  na  Marrecas  com  consultório odontológico,Saúde
Ampliação do atendimento médico especializado,Saúde
Implantar Saúde Digital - Telemedicina em todas as unidades de saúde,Saúde
Renovação da frota do SAMU,Saúde
Aquisição de novas ambulâncias básicas,Saúde
Ampliação  de  serviços  no  Centro  Especializado  em  Saúde  da  Mulher  e  da  Criança,Saúde
Aquisição  de  microônibus  para  transporte  de  paciente  a  Teresina  para tratamento fora do domicílio,Saúde
Renovação dos carros das Equipes de Saúde da Família da zona rural,Saúde
Aquisição de carro próprio para Vigilância Ambiental e para o transporte da equipe para as visitas domiciliares,Saúde
Construção da sede própria do CAPS,Saúde
"Viabilizar, em termo de cooperação com o Estado, a transferência da Maternidade para Hospital Estadual Teresinha Nunes de Barros",Saúde
Implementação da insalubridade dos profissionais da saúde  •Capacitação  continuada  para  os  profissionais  de  saúde  garantir  qualidade  nos atendimentos,Saúde
Ampliação do atendimento psicológico para os postos de saúde,Saúde
"Utilizar  os  espaços  públicos  nos  bairros  para  realizar  atividade  física  com  pacientes idosos, obesos, com doenças crônicas entre outros",Saúde
Promover  campanhas  de  saúde  de  promoção  e  prevenção  nas  escolas  e  demais espaços públicos,Saúde
Melhorar a infraestrutura de saúde;,Saúde
Capacitação para os profissionais de saúde;,Saúde
"Reorganizar  a  Unidade  Básica  de  Saúde,  estruturando-a  com  infraestrutura humana, material, equipamentos e insumos, capazes de estabelecer a garantia de um funcionamento eficaz;",Saúde
"Melhoria, manutenção e ampliação do ESF - Estratégias de Saúde da Família;",Saúde
"Instituir o programa “Academia da Saúde” – promovendo assim, atividades de saúde e bem-estar da população;",Saúde
"Implementar  ações  em  saúde  voltadas  para  a  mulher,  gestante,  criança  e  adolescente, bem como ações voltadas à saúde do homem;",Saúde
Aquisição de uma ambulância equipada para situações de emergência;,Saúde
"Adquirir  um  transporte,  com  condutores  exclusivos,  para  as  viagens  à  capital  do  Estado  contemplando  as  diversas  demandas  da  Secretaria  Municipal  de  Saúde;",Saúde
"Desenvolver  trabalho  contínuo  para  combate  à  Dengue,  Chikungunia  e  a  Zika  no município;",Saúde
"Distribuição gratuita de medicamentos para doenças como pressão alta, diabetes, colesterol e outros;",Saúde
"Assegurar  a  melhoria  do  atendimento  e  a  humanização  na  rede  de  saúde pública, garantindo uma conduta de atenção e cuidado que atenda efetivamente à expectativa da população.",Saúde
"Aumento da frota de ambulâncias, visando facilitar o deslocamento dos enfermos residentes",Saúde
na sede e nos povoados;,Saúde
Ampliar o financiamento com recursos federais para ações da Atenção Primária à Saúde;,Saúde
Garantia e melhoria do acesso aos serviços das redes públicas de sáude;,Saúde
Ampliaçao e contrataçao dos serviços especializados de atendimento médico hospitalar;,Saúde
"Continuidade do projeto melhoria das UBS,  para promover melhorias da estrutura física, dos equipamentos  e  dos  serviços,  garantindo  atendimento  preventivo  de  saúde  a  toda  população que precisa;",Saúde
Programa  de  capacitação  continua  para  profissionais  atuantes  na  saúde  visando  à  prevenção de doenças sexualmente transmissíveis e cânceres comuns;,Saúde
Capacitação na atuação dos agentes de saúde e agentes de endemias;,Saúde
"Distribuição gratuita de medicamentos para doenças como pressão alta, diabetes, colesterol e outros;",Saúde
Recuperação da estrutura dos equipamentos de saúde dos postos de saúde;,Saúde
"Promoção de campanhas itinerantes, em todos os povoados, voltadas a exames oftalmológicos, diabéticos, ginecológicos e urológicos;",Saúde
Criação do PADI (Programa de Atendimento Domiciliar ao Idoso);,Saúde
Melhorar a distribuiçao gratuita de medicamentos em parcceria com Governo Federal e Estadual;,Saúde
Ampliar o atendimento de especialidades no Centro de Saúde;,Saúde
Manter os programas e projetos em funcionamento atualmente;,Saúde
Adquirir um Ultrassom para o Centro de Saúde;,Saúde
Pleitear junto as demais esferas de governo a ampliação das parcerias na busca de mais recursos para o Município;,Saúde
"Promover capacitações dos servidores e profissionais da saúde a fim de garantir a melhoria e a humanização do atendimento na rede de saúde pública, assegurando uma  postura  de  atenção  e  cuidado  que  responda  afetivamente  à  expectativa  da população;",Saúde
Aquisição de veículos de apoio.,Saúde
"Aparelhar  o  Conselho  Municipal  de  Saúde,  fortalecendo  e  democratizando  o",Saúde
controle social no território de saúde do Município;,Saúde
"Implantar Redes de Assistência à Saúde (saúde mental, psicossocial, do idoso, urgência/emergência  atendimento  a  pacientes  portadores  de  necessidades especiais) com adoção de linhas de cuidado e protocolos de atendimento;",Saúde
Implantar  sistema  de  remuneração  salarial  dos  servidores  da  saúde  baseado na Gestão por Resultados por meio de indicadores em Saúde;,Saúde
"Implantar  o  Núcleo  de  Formação  em  Serviços  de  Saúde  para  servidores  da Secretaria de Saúde, por meio da formalização de convênios com  a União e o Estado;",Saúde
Ampliar equipes de atendimento do PSF (Programa de Saúde da Família);,Saúde
Implantar e/ou Ampliar a Linha Saúde na área rural do Município;,Saúde
Renovar a frota de ambulâncias de Transportes Eletivos;,Saúde
Viabilizar os mutirões para procedimentos cirúrgicos eletivos e ambulatoriais;,Saúde
"Integrar todos os sistemas informatizados nas unidades, serviços e setores;",Saúde
"Implantar a coleta de dados informatizada dos Agentes Comunitários de Saúde e Agentes de Endemias, por meio de computadores portáteis (Palmtop);",Saúde
"Implantar  sistema  de  comunicação  via SMS  (mensagem  de  celular)  com pacientes  (para  agendamento  de  consultas,  resultados  de  exames  e  outros serviços) combatendo, assim, a demora em longas filas;",Saúde
"Estruturar o setor de Engenharia Clínica com sistema informatizado, compreendendo  o  gerenciamento  do acervo  patrimonial  com  planejamento  da manutenção preventiva e corretiva de todos os equipamentos;",Saúde
"Construir, reformar e ampliar Unidades Básicas de Saúde do Município",Saúde
"Elaborar  projeto  e  destinar  área  para  implantação  do  Hospital  Municipal,  em conjunto com Estado e União;",Saúde
Criar e/ou Fortalecer o Conselho Municipal de Políticas Públicas para Combate as Drogas;,Saúde
Criar o Cetrad (Centro de Tratamento de Dependentes de Álcool e Drogas).,Saúde
"Iniciar  o  atendimento  a  dependentes  químicos,  principalmente  por  meio  do Cetrad (Centro de Tratamento de Dependentes de Álcool e Drogas).",Saúde
AQUISIÇÃO  DE  NOVOS  EQUIPAMENTOS  E  APARELHOS  PARA CONSULTÓRIO ODONTOLÓGICO DA UBS - UNIDADE BÁSICA DE SAÚDE DE SÃO FÉLIX DO PIAUÍ.,Saúde
"IMPLANTAÇÃO  DO  SAMU  -  SERVIÇO  DE  ATENDIMENTO  MÓVEL  DE URGÊNCIA, NO MUNICÍPIO.",Saúde
IMPLANTAR NOVA ESF – EQUIPE DE SAÚDE DA FAMÍLIA.,Saúde
"OFERTAR  MÉDICOS  ESPECIALISTAS  DENTRO  DO  PRÓPRIO MUNICÍPIO,  COMO  POR  EXEMPLO,  PSIQUIATRA,  PEDIATRA,ORTOPEDISTA, GINECOLOGISTA E CIRURGIÃO GERAL.",Saúde
IMPLANTAR  UM  CENTRO  DE  TERAPIA  PARA  PESSOAS  COMTRANSTORNO DO ESPECTRO AUTISTA.,Saúde
"REALIZAR  EXAMES  DE  IMAGEM  NA  UNIDADE  MISTA  DE  SAÚDE ANTÔNIO BATISTA, COMO POR EXEMPLO, RAIO-X E ULTRASSOM.",Saúde
"Valorizar  todos  os  profissionais  que  atuam  na  saúde,  independentemente  de  sua categoria profissional, será um dos pilares dessa transformação.",Saúde
"Reorganizar, ampliar e fortalecer o programa Estratégia Saúde da Família - ESF, no interior e na sede do município.",Saúde
"Ampliação do programa NASF, composto por médica ginecologista, fonoaudiólogo, nutricionista, educador físico e fisioterapeuta.",Saúde
Reorganizar e ampliar o programa de saúde bucal;,Saúde
"Desenvolver  e  melhorar  programas  de  atenção  ao  idoso;  saúde  da  mulher,  saúde da criança e adolescente;",Saúde
Efetivar  a  disponibilidade  de  médicos  e  enfermeiros  plantonistas  para  atendimento hospitalar;,Saúde
"Compra de novas ambulâncias, mais modernas e preparadas para atender casos de emergência no local e durante encaminhamento ao hospital",Saúde
Aquisição de veículo para deslocamento da equipe de saúde para a zona rural,Saúde
"Intensificar as campanhas de vacinação de crianças e idosos, melhorando a qualidade de vida da população;",Saúde
"Construção e implantação de 01 laboratório para realização de exames básicos no município, para que a população possa ser atendida gratuitamente",Saúde
Construção  de  uma  Maternidade.  Onde  todas  as  mulheres  Paulistanense  possam ter o direito que seu filho tenha o nascimento em Paulistana.,Saúde
Construção e ampliação de novas Unidades Básicas de Saúde,Saúde
"Assegurar a cobertura de todos medicamentos preconizados pelo ministério da saúde, e distribuídos gratuitamente pela farmácia básica, com a entrega em domicilio aos usuários hipertensos e diabéticos",Saúde
"Capacitação dos profissionais e agentes de saúde, para melhor atendimento da população e humanização da função",Saúde
"Assegurar aos cidadãos o acesso às informações e a participação na formação, implementação e avaliação das políticas de saúde;",Saúde
Ampliar os serviços e equipe da vigilância sanitária;,Saúde
Melhorar a qualidade do atendimento dos Agentes de Endemias e Agentes Comunitário de Saúde;,Saúde
"Manutenção e ampliação dos serviços de distribuição de medicamentos, através da Farmácia Básica;",Saúde
"Implantação do Projeto Caravana da Saúde, para atendimento as localidades;",Saúde
"Capacitar os profissionais, melhorando a qualidade do serviço de saúde.",Saúde
"Melhorar as condições de trabalho para os profissionais de saúde (transportes, infraestrutura, salário e etc.)",Saúde
"Finalização da obra da Unidade Básica Avançada de Saúde – UBAS, garantindo as-sistência 24 horas.",Saúde
Ativação e reorganizar do Serviço de Atendimento Móvel de Urgência – SAMU;,Saúde
"Segurança pública possui como alicerces principais: aliança comunitária, transparência,  cuidado  com  pessoas,  grupos  e  temáticas  sensíveis  (reeducandos, crianças,  mulheres,  idosos,  deficientes,  meio  ambiente,  dentre  outros),  apoio  aos profissionais, refletindo o modo social de fazer segurança. As palavras-chave",Segurança
"Viabilizar  apoios  para  uma  maior  aproximação  com  a  comunidade,  por  meio  de conselhos de segurança, rondas e visitas comunitárias;",Segurança
Promover reforço efetivo de policiamento no município;,Segurança
Apoiar a classe policial no município;,Segurança
"Revitalizar e Apoiar as  ações do Conselho Municipal de Segurança, na implantação do de programas voltados;",Segurança
Valorização e Apoio as ações do Conselho Tutelar e Conselheiros;,Segurança
Viabilizar  e  firmar  parceria  com  a  Secretaria  Estadual  de  Segurança  para  o  bom funcionamento da Companhia de Polícia Militar.,Segurança
"Implantar sistema de monitoramento através da instalação de câmeras em torres de observação nas principais vias de acesso, que enviarão imagens de toda cidade em tempo real para uma central da Guarda Municipal;",Segurança
"Implementar convênio com o Estado para  o  aumento  de  efetivo  da  Polícia  Civil  e  Militar,  com  o  reestudo  do  convênio  de segurança e trânsito;",Segurança
Ampliar e consolidar programas e ações que garantam mais segurança para a população.,Segurança
CRIAÇÃO DE GUARDA MUNICIPAL,Segurança
"VALORIZAÇÃO E PRESERVAÇÃO DO PATRIMÔNIO PÚBLICO COM INSTALAÇÃO DE SISTEMAS DE VIDEOMONITORAMENTO  NAS  PRINCIPAIS  VIAS  DE  ACESSO  À  CIDADE,  NAS  PRAÇAS  E  PRÉDIOS  PÚBLICOS  COM  CÂMERAS QUE ENVIARÃO IMAGENS EM TEMPO REAL PARA UMA CENTRAL DA GUARDA MUNICIPAL.",Segurança
IMPLANTAÇÃO DE VIGILÂNCIA COMUNITÁRIA NAS LOCALIDADES MAIS POPULOSAS.,Segurança
"APOIO ATRAVÉS DE CONVÊNIO JUNTO AS POLICIAS (CIVIL E MILITAR) PARA COMBATE A INFRAÇÕES, CONTRAVENÇÕES E CRIMES NO MUNICÍPIO DE ANGICAL DO PIAUÍ.",Segurança
SOLICITAÇÃO DE IMPLANTAÇÃO DE UMA COMPANHIA INDEPENDENTE DA POLÍCIA MILITAR NO MUNICÍPIO.,Segurança
Garantir iluminação pública de qualidade em toda a cidade para uma melhor atuação da polícia militar e um maior conforto e segurança dos moradores;,Segurança
"Instalar  câmeras  de  segurança,  que  enviarão  imagens  de  toda  cidade  em  tempo  real para policia militar;",Segurança
"Implementar  convênio  com  o  Estado  para  o  aumento  de  efetivo  da  Policia  Militar, através de  convênio com o Estado;",Segurança
"Implantar  a  Política  Municipal  Integrada  de  Prevenção  à  Violência,  a cultura  de  paz  na  cidade  e  as  iniciativas  de  mediação  de  conflitos  nas comunidades de São Miguel do Tapuio;",Segurança
Implantar do Sistema de Monitoramento nos prédios públicos para garantir maior segurança;,Segurança
Criar a Guarda Municipal com atuação organizada e monitorada diariamente;,Segurança
Realizar parceria com o Governo do Estado para reforma e restruturação da Sede da Polícia Militar localizado na Rua Coletor José de Araújo;,Segurança
"Produzir e publicar materiais, eventos e campanhas para tratar de temas relacionados ao enfrentamento do machismo, do feminicídio, da translesbofobia e da violência contra as mulheres e ao empoderamento do público feminino;",Segurança
Seguranca,Segurança
"Promoção de campanhas educativas institucionais na área da segurança pública (segurança no trânsito, combate ao uso das drogas, entre outros) promovendo e incentivando ações estratégicas de prevenção às violências",Segurança
Planejamento de ações conjuntas com a Vara da Infância e Juventude;,Segurança
"Promover a cooperação e a articulação entre os órgãos federais, estaduais e municipais  com  vistas  ao  alcance  das metas  estabelecidas  e os objetivos da",Segurança
Política Nacional de Segurança Pública e Defesa Social;,Segurança
"Implementar  políticas  de  segurança  pública,  prevenção  e  enfrentamento  à criminalidade, de maneira integrada com os entes federativos e estaduais, na forma estabelecida no Plano Nacional de Segurança Pública e Defesa Social 2021-2030.",Segurança
"Criar Sistema Integrado com câmeras de segurança para videomonitoramento no perímetro urbano, com sala de controle operacional, que permite o acompanhamento  em  tempo  real,  todos  os  dias,  durante  24h,  nos  principais pontos da cidade, qualificando os processos de investigação e inteligência;",Segurança
Ampliação das ações de prevenção criminal por meio de videomonitoramento.,Segurança
Sistema de monitoramento através de câmeras em pontos estratégico na zona urbana;,Segurança
Atuar de forma integrada com o Conselho Tutelar;,Segurança
Aumentar o efetivo policial para sede do município;,Segurança
Implantação de Guarda Municipal;,Segurança
Buscar  recursos  junto  ao  Governo  Estadual  para  a  compra  de  veículos para a segurança.,Segurança
Buscar a ampliação do número de policiais no GPM de Itainópolis junto ao governo do Estado.,Segurança
"Atuar preventivamente no combate ao tráfico de drogas, fortalecendo a presença da GPM;",Segurança
"Atuar especialmente na região das escolas, para maior proteção de nossas crianças e adolescentes, dentro e fora do recinto;",Segurança
"Atuar na proteção e guarda de nosso patrimônio histórico, próprios municipais e recursos naturais;",Segurança
Enfrentar  a  criminalidade  e  a  violência  endêmica  em  parceria  com  o  Governo  de,Segurança
"Estado, gerando sensação de segurança e tranquilidade;",Segurança
Proporcionar ações imediatas de segurança ao cidadão;,Segurança
Implantar  uma  política  de  segurança  pública  integrada  e  articulada  com  as  demais políticas públicas;,Segurança
Proteger o patrimônio público;,Segurança
"Definir  um  programa  de  parceria  com  o  estado  para  compartilhar  responsabilidades com a segurança pública, promoção da justiça e a proteção do cidadão, dentro de suas respectivas áreas de atuação;",Segurança
Melhoria da iluminação pública com prioridade para a recuperação de todo sistema de iluminação no municÍpio e retomada de equipe de servidores para a realização desses serviços em caráter emergencial;,Segurança
"Criação da Guarda Municipal (com efetivo inicial, de homens e mulheres), cuja função deverá ser, prioritariamente, a guarda de Patrimônios Municipais, segurança de escolas, etc.;",Segurança
Solicitar o aumento do contingente da Polícia Militar;,Segurança
Implementação de iluminação em Led em todo município.,Segurança
Implantação  de  uma  central  de  monitoramento  com  câmeras  no  centro  e entradas da cidade.,Segurança
"Manter as politicas voltadas ao combate a violência urbana, articuladas com os setores organizados da sociedade e com as policias militar e civil.",Segurança
"Apoio a Policia Militar no combate à violência, roubos e furtos;",Segurança
Criação de um programa de incentivo ao jovem dependente químico e atuar com rigor visando o cumprimento do Estatuto da Criança e do Adolescente na proibição de drogas em parceria com o governo Federal e Estadual.,Segurança
Aquisiçao de novas viaturas para atender os serviços da Guarda Municipal;,Segurança
"Buscar a formalizaçao de convenios com a SENASP e a Secretaria Estadual de Segurança para obtençao de equipamentos de uso pessoal e coletivo, tais como: coletes, algemas, spray de pimenta, EPIs, armas na o letais (Taser);",Segurança
Ampliar o sistema municipal de videomonitoramento ja  existentes com instalaçao de mais cameras nas repartiçoes do município e vias publicas;,Segurança
Instalar cameras nas principais saídas do município;,Segurança
Aquisiçao de novos equipamentos para a Guarda Municipal e Agentes de Transito;,Segurança
Capacitaçao continuada com cursos e treinamentos;,Segurança
"Reestruturar a Patrulha Escolar, articulando Guarda Civil Municipal e escolas;",Segurança
"Concurso publico, para o aumento efetivo da Guarda Civil Municipal;",Segurança
"Plano de Cargos, Carreira e Sala rios – PCCS da Guarda Municipal e Agentes de Transito;",Segurança
Continuidade do Projeto Guarda Mirim;,Segurança
